paragraph_id,question_id,prediction
1361,6463,0.0
1403,34696,0.0
1435,13751,0.0
341,38544,1.0
1317,14589,0.0
412,26912,1.0
1282,18076,1.0
689,19755,0.0
1455,36313,0.0
432,12545,0.0
509,537,0.0
420,33542,0.0
1055,35277,0.0
942,14974,0.0
78,39272,0.0
1260,35209,1.0
615,4767,0.0
1597,2581,0.0
136,10227,0.0
1460,41217,0.0
1097,21336,1.0
125,42701,0.0
1227,19799,0.0
661,6335,1.0
985,39900,1.0
1081,835,1.0
195,26152,0.0
1449,24396,1.0
717,41848,0.0
1023,15350,0.0
792,23245,1.0
594,18936,1.0
1168,14974,0.0
190,6238,1.0
1145,6887,0.0
940,7322,0.0
807,9173,1.0
1106,4426,1.0
425,11053,0.0
945,9922,0.0
561,33364,1.0
594,2217,0.0
828,18570,1.0
420,20832,0.0
162,26407,1.0
177,42172,1.0
1225,34376,0.0
1028,25737,0.0
641,32197,0.0
1518,18478,0.0
1301,38838,1.0
1553,29391,0.0
1431,6069,0.0
288,26682,0.0
556,27297,0.0
127,27543,1.0
1044,21111,0.0
1397,6617,0.0
823,2312,0.0
320,38070,0.0
157,23343,0.0
427,19658,0.0
925,19032,0.0
1370,31428,1.0
87,23879,0.0
1538,37148,1.0
1558,2668,1.0
752,2518,0.0
432,6677,0.0
1403,28809,0.0
1235,7778,0.0
997,26999,1.0
1365,3116,0.0
606,33513,1.0
1390,31715,1.0
1531,13955,0.0
1237,2861,0.0
705,34215,0.0
639,30032,0.0
344,25818,0.0
6,8419,0.0
1436,9410,1.0
268,25286,0.0
549,30239,0.0
1497,33972,0.0
48,27688,1.0
1219,40033,0.0
60,25596,1.0
1212,13429,0.0
867,26412,0.0
387,34796,0.0
1070,28664,0.0
203,40296,0.0
313,30172,1.0
1498,10071,0.0
267,12209,0.0
39,28211,0.0
369,29612,0.0
87,8781,1.0
45,32140,0.0
837,33197,1.0
1391,21920,0.0
146,12159,0.0
14,6081,0.0
1070,31507,0.0
254,28809,0.0
1431,36752,0.0
516,24134,1.0
1469,29286,1.0
1102,31758,0.0
355,2511,0.0
326,31333,1.0
366,34424,1.0
709,31688,1.0
386,1104,1.0
334,7665,0.0
1488,40250,0.0
386,28262,0.0
591,28739,0.0
1179,1,1.0
1148,16124,0.0
639,36076,0.0
1149,18878,0.0
1414,43340,1.0
1466,36528,1.0
1071,10505,0.0
563,19954,1.0
45,39381,1.0
182,28455,0.0
606,24266,0.0
1106,16118,1.0
1607,25528,1.0
1099,22961,0.0
407,7112,0.0
1125,4183,0.0
501,14435,0.0
1585,3121,0.0
311,28158,1.0
1584,41260,1.0
471,23016,0.0
47,12993,1.0
1494,23412,0.0
1061,23273,0.0
1125,12655,0.0
643,32126,0.0
582,9802,0.0
1219,23445,1.0
357,22290,1.0
441,39239,0.0
317,13457,0.0
427,6684,0.0
195,16118,0.0
1535,35616,0.0
281,9910,1.0
1454,796,1.0
1039,28124,0.0
1622,43170,0.0
254,2941,1.0
691,40084,0.0
663,19049,1.0
1200,25720,1.0
839,23165,0.0
374,26148,1.0
563,7915,1.0
211,778,1.0
1032,16364,0.0
283,25046,1.0
678,38510,1.0
446,17035,0.0
345,6026,0.0
292,17126,0.0
1315,42101,0.0
1279,2988,1.0
1200,12192,1.0
1346,27726,1.0
420,4536,0.0
995,28347,1.0
1123,13053,0.0
258,30076,0.0
185,14567,1.0
1227,34090,0.0
1501,19061,0.0
248,13390,1.0
1249,12592,0.0
1572,28102,0.0
1006,9510,1.0
635,23963,0.0
224,2667,0.0
596,3840,0.0
55,26035,1.0
165,1845,0.0
219,6956,1.0
31,39016,0.0
285,3306,0.0
830,27068,0.0
1451,36649,0.0
279,2212,1.0
272,30891,0.0
1230,37777,1.0
1370,39184,1.0
1144,40819,0.0
723,14154,0.0
165,19592,0.0
1100,3280,0.0
1531,7483,0.0
26,31752,0.0
906,32483,0.0
438,10227,0.0
1243,25633,0.0
91,42109,1.0
955,12599,1.0
1363,39087,0.0
223,16467,0.0
1052,343,0.0
507,8229,0.0
1587,38171,1.0
671,7437,1.0
1438,29518,1.0
523,15680,0.0
1545,38845,1.0
55,28961,0.0
266,4012,1.0
341,11454,0.0
1127,30803,0.0
1114,8923,1.0
